,date_id,date,year,month,month_name,day,quarter,day_name,day_of_week
0,1,2000-01-01,2000,1,January,1,1,Saturday,5
1,2,2000-01-02,2000,1,January,2,1,Sunday,6
2,3,2000-01-03,2000,1,January,3,1,Monday,0
3,4,2000-01-04,2000,1,January,4,1,Tuesday,1
4,5,2000-01-05,2000,1,January,5,1,Wednesday,2
5,6,2000-01-06,2000,1,January,6,1,Thursday,3
6,7,2000-01-07,2000,1,January,7,1,Friday,4
7,8,2000-01-08,2000,1,January,8,1,Saturday,5
8,9,2000-01-09,2000,1,January,9,1,Sunday,6
9,10,2000-01-10,2000,1,January,10,1,Monday,0
10,11,2000-01-11,2000,1,January,11,1,Tuesday,1
11,12,2000-01-12,2000,1,January,12,1,Wednesday,2
12,13,2000-01-13,2000,1,January,13,1,Thursday,3
13,14,2000-01-14,2000,1,January,14,1,Friday,4
14,15,2000-01-15,2000,1,January,15,1,Saturday,5
15,16,2000-01-16,2000,1,January,16,1,Sunday,6
16,17,2000-01-17,2000,1,January,17,1,Monday,0
17,18,2000-01-18,2000,1,January,18,1,Tuesday,1
18,19,2000-01-19,2000,1,January,19,1,Wednesday,2
19,20,2000-01-20,2000,1,January,20,1,Thursday,3
20,21,2000-01-21,2000,1,January,21,1,Friday,4
21,22,2000-01-22,2000,1,January,22,1,Saturday,5
22,23,2000-01-23,2000,1,January,23,1,Sunday,6
23,24,2000-01-24,2000,1,January,24,1,Monday,0
24,25,2000-01-25,2000,1,January,25,1,Tuesday,1
25,26,2000-01-26,2000,1,January,26,1,Wednesday,2
26,27,2000-01-27,2000,1,January,27,1,Thursday,3
27,28,2000-01-28,2000,1,January,28,1,Friday,4
28,29,2000-01-29,2000,1,January,29,1,Saturday,5
29,30,2000-01-30,2000,1,January,30,1,Sunday,6
30,31,2000-01-31,2000,1,January,31,1,Monday,0
31,32,2000-02-01,2000,2,February,1,1,Tuesday,1
32,33,2000-02-02,2000,2,February,2,1,Wednesday,2
33,34,2000-02-03,2000,2,February,3,1,Thursday,3
34,35,2000-02-04,2000,2,February,4,1,Friday,4
35,36,2000-02-05,2000,2,February,5,1,Saturday,5
36,37,2000-02-06,2000,2,February,6,1,Sunday,6
37,38,2000-02-07,2000,2,February,7,1,Monday,0
38,39,2000-02-08,2000,2,February,8,1,Tuesday,1
39,40,2000-02-09,2000,2,February,9,1,Wednesday,2
40,41,2000-02-10,2000,2,February,10,1,Thursday,3
41,42,2000-02-11,2000,2,February,11,1,Friday,4
42,43,2000-02-12,2000,2,February,12,1,Saturday,5
43,44,2000-02-13,2000,2,February,13,1,Sunday,6
44,45,2000-02-14,2000,2,February,14,1,Monday,0
45,46,2000-02-15,2000,2,February,15,1,Tuesday,1
46,47,2000-02-16,2000,2,February,16,1,Wednesday,2
47,48,2000-02-17,2000,2,February,17,1,Thursday,3
48,49,2000-02-18,2000,2,February,18,1,Friday,4
